id,bricr_apn,seed_building_id,seed_primary_property_type,building_type_id,seed_building_address,seed_property_name_seed,seed_property_gfa_ft2,seed_property_gfa_m2,bricr_building_name,bricr_occupancy_classification,bricr_gfa_ft2,bricr_building_height_m2_fix,bricr_number_of_floors,bricr_building_perimeter_ft,bricr_building_footprint_floor_area_ft2,bricr_completed_construction_status_date,bricr_last_modified_date,seed_2018_1_elec_kwh,seed_2018_2_elec_kwh,seed_2018_3_elec_kwh,seed_2018_4_elec_kwh,seed_2018_5_elec_kwh,seed_2018_6_elec_kwh,seed_2018_7_elec_kwh,seed_2018_8_elec_kwh,seed_2018_9_elec_kwh,seed_2018_10_elec_kwh,seed_2018_11_elec_kwh,seed_2018_12_elec_kwh,seed_2018_1_gas_therm,seed_2018_2_gas_therm,seed_2018_3_gas_therm,seed_2018_4_gas_therm,seed_2018_5_gas_therm,seed_2018_6_gas_therm,seed_2018_7_gas_therm,seed_2018_8_gas_therm,seed_2018_9_gas_therm,seed_2018_10_gas_therm,seed_2018_11_gas_therm,seed_2018_12_gas_therm
45,SF3729006,3729/006,Office,1,1200 Folsom Street,1200 Folsom Street,21114,1962,1200 FOLSOM STREET LLC  ,Office,21114,7.63,2,145.49,1130.16,1925,20070523,14094.23412,16654.4749,15909.69304,17409.63149,15151.42989,16746.58719,17082.73986,18767.66487,18027.3963,19124.2153,14174.4184,14080.07878,394.141,397.509,317.802,181.448,88.75,45.783,34.329,29.38,31.551,51.078,252.484,368.484
47,SF3775042,3775/042,Office,1,21 South Park Street,21 South Park,24812,2305,SURVIVORS TRUST,Office,24812,10.19,2,140.83,1120.85,1919,20080505,9529.855164,8876.511515,8762.301664,7842.058063,7879.395335,8670.892754,9066.538888,7872.977076,7726.705235,8184.863458,7514.287222,7798.155996,179.172,137.453,100.582,57.393,28.15,8.45,21.283,17.335,11.147,15.034,70.467,118.533
49,SF3794015,3794/015,Office,3,101-111 Townsend Street,101 Townsend Street,30000,2787,CIVITAS EQUITY FUND I LLC  ,Office,30000,14.59,3,135.33,1108.55,1913,19980701,50566.62388,50278.56419,56948.16156,54579.61866,57811.02182,57170.42677,60012.63137,56699.10965,53610.84246,55444.4718,50138.32961,55632.53559,6.59,43.41,89.7,92.8,95.93,92.89,92.56,85.9,96.2,91.96,98.9,89.45
52,SF3788045,3788/045,Office,3,625 3rd Street,PMI - 625 3rd Street,42429,3942,625 THIRD LLC  ,Office,42429,15.86,4,141.12,1068.77,1909,20120912,58091.6082,32588.17047,59012.76032,61145.99635,56528.5129,45158.28776,45443.70981,46343.14536,43240.5763,40736.07765,42851.17258,41289.95293,1494.312,1587.236,1884.52,1491.106,1794.223,1683.523,1573.981,1581.439,1791.489,838.543,697.055,791.355
54,SF3786016,3786/016,Office,1,370 Townsend St,370 Townsend St.,23466,2180,SAN FRANCISCO TOWNSEND LLC ,Office,23466,5.96,2,130.54,1044.65,1923,20150106,9262.193228,10098.32539,11239.77914,9351.198954,12371.91323,10465.69015,9972.070314,10223.81848,10232.81577,11296.34189,13546.19095,12630.54857,349.854,256.462,33.975,5.763,1.269,2.864,15.168,17.871,21.695,116.531,184.503,24.297
59,SF3704021,3704/021,Office,3,972 Mission Street,972 Mission LLC,66000,6132,972 MISSION LLC,Office,66000,23.28,5,139.27,1023.93,1925,19940922,19769.73395,19829.84286,22443.71567,23233.07367,25609.44158,28906.60993,29915.59549,28701.75315,28818.8351,30833.11353,30279.20894,36256.4842,24.877,37.568,112.536,38.247,15.801,12.923,14.528,16.866,24.531,13.294,49.042,115.959
62,SF3794022,3794/022,Office,3,135 Townsend Street,Field Storage Building,53224,4945,FIELD STORAGE LLC ,Office,53224,22.4,5,128.47,993.37,1911,20141216,33589.24311,30915.11485,32922.27165,30232.14171,30726.72868,30496.66778,31732.75422,31714.58381,31202.5591,33142.92497,32522.66906,37365.58289,23.54,22.7,23.79,22.98,19.8,18.64,19.6,20.3,18.17,20.47,28.46,44.81
63,SF3504044,3504/044,Office,1,1663 Market Street,American Red Cross,23000,2137,AMERICAN NATIONAL RED CROSS,Office,33000,14.28,2,127.75,981.01,1921,20141210,12635.79455,11656.23333,12503.32636,11465.59051,11794.35779,11735.18672,11937.17139,10860.60361,9595.268658,10919.59884,10817.19976,11817.80349,273.488,259.045,211.634,128.153,99.646,45.167,37.032,33.645,34.633,36.752,230.938,378.125
64,SF3570039,3570/039,Office,3,154 Capp Street,154-174 Capp Street,33739,3134,CAPP STREET INVESTORS,Office,33739,11.9,3,125.22,979.44,1922,20131212,20328.73798,19044.91023,22210.43099,22602.00343,21615.70158,21979.10988,22331.08841,21602.51338,21884.56511,22526.03938,19890.21552,20013.42266,320.847,376.89,286.545,148.022,103.071,62.214,53.134,78.839,77.342,97.957,255.45,403.726
65,SF1215016,1215/016,Office,3,425 Divisidero Street,425 Divisadero,30044,2791,JOHN P BRENNAN CO LLC,Office,30044,13.83,4,167.89,978.8,1983,20090430,17782.33015,16208.06884,17718.3234,16501.87273,16659.60365,16056.34587,16153.41106,16152.7663,16005.90832,16568.0189,16023.78566,16679.38596,2159.168,2031.492,2329.758,2250.582,2255.76,2193.846,2278.388,2277.7,2238.412,2240.621,2105.86,2243.644
68,SF3780008,3780/008,Office,1,541 8th Street,541-543 8th Street,13824,1284,CHARLES H SUGARMAN EXEMPT D,Office,13824,9.17,2,130.78,943.47,1937,20080429,13463.75002,12929.33467,11268.73458,9678.999103,9366.526579,9979.250558,8887.267228,9303.574883,8072.910256,8923.520137,10955.93967,12768.23343,0.966,0.878,1.949,1.107,0.975,0.992,1.064,0.948,1.914,1.957,1.983,1.138
69,SF4023005,4023/005,Office,1,2001 Bryant Street,2001 Bryant Street,14700,1366,2001-2031 BRYANT STREET LLC,Office,14700,9.01,1,122.79,942.48,1943,,5474.365061,4293.141548,3211.269174,2151.171992,2510.565217,1741.868739,1817.979333,2019.905397,1799.926146,1959.91372,1987.433106,2040.801374,452.887,425.6,301.652,89.782,47.767,21.29,13.71,14.562,16.875,40.562,151.875,280.48
70,SF3956004,3956/004,Office,1,383 Rhode Island St.,Winton Properties,23667,2199,WINTON PROPERTIES INC,Office,27667,13.49,3,122.62,939.05,1924,,7128.576201,7647.195015,9737.46681,7839.830722,7062.517951,8742.167672,8071.708664,7582.484892,8598.2404,8555.276161,7056.275534,7479.704819,67.867,80.5,747.948,272.952,189.6,59.896,51.437,29.848,26.094,66.491,303.108,498.093
71,SF1064032,1064/032,Office,3,3360 Geary Blvd,3360 Geary Blvd,28800,2676,PIETRO & PIETRO,Office,28800,12.44,3,125.58,926.47,1969,20100310,31228.67174,33289.19681,32622.48911,34801.85455,33853.91572,34814.3687,35513.16769,36911.61558,32872.53747,37054.72226,34784.12375,33698.29491,1369.492,1154.75,895.242,1463.192,1427.837,1436.558,1487.834,1634.757,2953.771,2964.666,1598.581,388.064
72,SF3735055,3735/055,Office,1,240 2nd Street,240 2nd Street,19912,1850,MARINE FIREMENS UNION,Office,37137,12.52,2,135.32,918.01,1957,19970516,7418.804621,6889.137023,7532.457637,7131.712063,6227.675301,5852.309694,6450.204271,6078.267597,6506.444636,6312.402187,6483.028246,7015.304179,884.617,835.952,772.635,551.597,673.675,102.492,17.03,15.164,19.87,295.194,592.208,894.667
74,SF4058009,4058/009,Office,3,2203 3rd St.,2203 3rd St.,46230,4295,LEVIN MARTIN C INV CO LLC  ,Office,46230,14.06,3,136.05,883.44,1919,19980124,7742.912073,6453.252211,6217.271273,5639.422767,7622.723569,7695.610379,7969.661268,7980.416982,7944.779523,8249.368432,8599.881599,8974.866213,124.991,62.385,53.735,30.901,100.57,54.071,30.308,31.842,40.332,67.525,304.377,466.962
75,SF3987007,3987/007,Office,3,135 Mississippi,135 Mississippi,28500,2648,SF OFFICE 4 LLC,Office,28500,16.03,4,125.49,881.01,1984,20130213,32702.81993,35605.01621,32180.09812,33803.50748,35231.93656,33352.9691,34740.3096,39263.59997,35013.95019,36572.70804,36700.80946,34660.12532,480.161,494.569,354.062,292.991,239.088,169.078,154.599,217.871,221.697,289.013,373.82,463.534
76,SF4108003O,4108/003O,Office,1,2400 Third Street,GFB Properties Inc.,22665,2106,GFB PROPERTIES LLC,Office,26665,8.86,2,122.89,877.06,1937,,12530.11307,10978.18378,12286.95188,12353.01013,13500.17877,13530.89264,14867.50251,14272.56795,14640.25509,15071.36284,12401.68926,11537.62741,424.933,389.375,295.832,136.326,95.467,44.379,6.487,37.406,39.107,46.121,287.875,540.851
77,SF3508024,3508/024,Office,3,1360 Mission Street,1360 Mission Street,34000,3159,SFP2 1360 MISSION ST LLC,Office,34000,18.64,4,119.77,870.46,1930,,15465.01609,12900.49646,13853.76919,15348.31513,16084.92031,14595.67896,13243.59493,12828.31302,12615.33817,13812.50476,14046.63935,14850.70953,1138.104,1035.125,921.294,621.581,354.968,382.499,312.953,402.645,337.336,325.794,675.34,1292.434
78,SF4016002,4016/002,Office,1,570-590 York Street & 2700 18th Street,Jan Michaels' Building,17734,1648,JAN MICHAELS TRUST,Office,17734,10.02,2,124.79,845.43,1918,,8636.9258,8077.658009,8760.191551,7847.802259,7547.08189,6957.364,7329.94543,7047.688547,6836.823811,7164.682575,7097.246889,7812.340643,315.296,312.166,204.765,41.472,21.95,10.55,3.993,5.48,2.52,8.082,320.058,333.002
79,SF3775015,3775/015,Office,3,340 Brannan Street,340 Brannan Street,39261,3647,KG-BRANNAN LLC ,Office,39261,15.89,5,115.01,825.96,1911,20121108,29701.41905,35171.76904,29804.99042,30163.88542,29145.96119,29239.33367,30586.02519,30468.56225,32764.77519,36076.65571,33125.60446,35516.53801,258,269,117,60,24,1,2,4,4,15,170,384
80,SF3736099,3736/099,Office,3,583-587 Howard Street,583-587 Howard Street,34500,3205,585 HOWARD STREET PARTNERS ,Office,34500,12.77,4,135.33,824.53,1912,20060428,14669.15191,13689.67862,15512.55224,14567.66135,12008.76869,9993.845505,11117.48053,17538.43629,20021.27697,16915.27897,15511.46788,22194.75168,125.833,292.529,124.265,54.072,17.35,9.55,13.303,15.836,38.819,145.116,104.192,302.095
83,SF3548031,3548/031,Office,1,1899 Mission Street,1899 Mission,24708,2295,DROLAPAS FAMILY TRUST,Office,25543,11.79,3,114.09,807.34,1925,,10307.08001,8966.982597,9816.390887,9921.075923,10500.27256,10801.75491,12206.88483,10323.43339,13317.41957,15138.32961,10466.92105,10792.28871,80.594,114.606,66.717,41.42,23.062,16.333,6.022,7.355,15.946,22.595,159.583,188.792
84,SF3703033,3703/033,Office,3,1028 Mission St,1028 Mission Building,32000,2973,LUCKY GROUP INVESTMENTS LLC,Office,33000,10.1,2,136.22,801.09,1907,20070523,21616.02396,19788.72496,21907.48328,21271.13776,21420.01794,21506.21018,22170.1337,21886.26492,20916.9612,20757.44254,11562.21609,1502.957089,36.606,109.207,59,28.29,26.194,21.677,20.528,19.765,20.476,23.536,28.2,29.524
85,SF3785022,3785/022,Office,1,149 Bluxome Street,149 BLUXOME STREET,19298,1793,RAINBEAU BUILDING ASSOCS LL,Office,23456,10.16,2,117.27,786.46,1916,20160426,21209.09459,18050.0507,19746.37617,19215.80006,20229.97298,20210.63028,20761.10593,20026.37641,1935.706038,20452.44333,18586.10725,18918.06901,290.32,293.04,264.24,185.54,118.94,92.66,66.1,5.9,134.01,166.486,254.571,357.072
87,SF3704022,3704/022,Office,3,980-984 Mission Street,982 Mission,39420,3662,982 MISSION STREET LLC  ,Office,38537,18.62,4,130.39,777.7,1924,20080229,40008.73352,37268.78147,38789.99689,38539.74339,39523.34898,37638.75456,40663.10292,39313.24623,39894.31852,41117.45122,36895.05706,36778.18026,1130.741,1019.727,746.859,849.972,772.325,664.675,639.304,649.897,622.828,496.172,815.133,1091.35
88,SF3958001G,3958/001G,Office,1,398 Kansas Street,OPSWAT,12000,1115,SHIRA BENNY INVESTMENTS LLC,Office,12000,9.72,2,111.71,773.21,1912,20150326,27954.12849,26710.89111,29331.41665,29926.7615,31832.45705,32629.31767,34169.55342,33581.94564,33236.61983,35766.23468,29260.99164,26987.93133,270.333,116.375,61.946,18.112,5.254,1.246,2,0.976,3.948,14.659,40.359,188.383
89,SF4083004,4083/004,Office,1,3001 19th Street,John Logvy Company,16868,1567,JOHN B LOGVY MFG CO INC ,Office,16800,8.83,2,131.41,770.77,1905,,6820.85143,6255.985979,6811.678302,6484.053995,6451.083484,6592.783415,7005.339757,6369.756223,6089.902525,6413.570369,6185.385125,6978.259978,559.733,485.625,397.099,275.342,132.998,71.402,35.467,37.43,71.602,99.768,345.829,506.921
90,SF3776151,3776/151,Office,3,434 Brannan,434 Brannan,25000,2323,JDRW PROPERTIES LLC  ,Office,25000,11.75,3,113.16,768.79,1929,20070315,19180.25052,17808.14972,21397.94967,23270.79194,25195.27335,24061.55668,23881.8161,23304.34859,23129.97122,23912.91096,22359.78008,23496.92568,362.538,340.925,291.351,186.786,151.675,68.525,62.531,62.948,53.845,44.651,224.025,378.503
92,SF3788020,3788/020,Office,1,601 Third St.,199052-Third-Brannan,14170,1316,WFC HOLDINGS CORPORATION,Office,14170,11.98,2,120.09,762.6,1920,20010507,5413.787242,4958.794188,5249.784593,4272.831713,5010.785021,5905.033205,6477.371972,7395.71061,6495.747537,6810.711167,6746.733721,7180.186042,539,402,390,262,266,126,68,60,79,54,419,848
95,SF3775102,3775/102,Office,1,35 S. Park,Sherman C. Clay Building LLC,16310,1515,SHERMAN CLAY BUILDING LLC  ,Office,16310,11.03,3,115.56,754.32,1920,20031107,13478.0519,13089.46878,14159.06147,13752.45447,13966.74814,14830.78068,16541.93556,14717.21559,13856.23099,14531.43775,13736.27694,14017.06847,315.007,349.824,288.003,158.266,103.95,57.817,30.209,21.936,29.684,71.353,171.817,276.643
96,SF3987008,3987/008,Office,1,1045 17th Street,1045 17th Street,16162,1501,D R STEPHENS INDUSTRIAL PAR,Office,16162,10.05,2,110,753.13,1900,20131206,9723.487313,9671.789551,10864.99968,10164.70602,10822.12336,11861.26595,12742.88277,12715.8616,12401.68926,12663.75354,6668.190637,4688.992831,78.667,80.5,70.155,17.412,9.996,0.938,0,0,0,0,42.594,147.116
98,SF3728048,3728/048,Office,3,149 9th Street,The Storek Building,34149,3173,KFF RPP STOREK LLC,Office,34149,15.19,4,113.38,746.31,1923,20160427,5305.262973,6273.306488,7052.026001,7526.127298,6226.532323,6479.21832,6484.288452,7092.55775,6223.689532,7490.460532,5731.183363,4522.46977,42.871,55.521,37.899,37.32,31.196,30.738,26.778,32.968,28.654,30.733,28.267,27.25
99,SF0163008A,0163/008A,Office,1,560 Pacific Street,560 Pacific,22000,2044,JAC INVESTMENT PRPTS LLC,Office,22000,10.11,2,118.64,740.04,1910,20131023,15396.34951,13439.3665,14580.6151,14061.46876,15707.82559,16695.24111,17530.08376,14789.98517,16392.73301,16051.68604,14678.9698,14598.96136,129.152,111.431,65.038,14.131,6.612,5.521,5.867,5.238,5.011,5.952,2.975,6.225
102,SF3735008,3735/008,Office,3,282 2nd Street,282 2nd Street,35415,3290,282 SOUTH FINANCIAL LLC ,Office,35415,16.41,4,111.81,721.67,1900,20061106,38229.29305,34618.83158,38939.93212,37672.51637,38626.31662,38092.16503,40825.05407,39117.41605,37719.9646,40332.16691,35252.53946,32797.95085,1225.259,1500.014,1338.262,1318.407,1313.175,999.758,1265.591,1088.73,1162.408,883.763,769.59,453.28
104,SF3504019,3504/019,Office,1,74 Otis Street,"Celerity Consulting Group, Inc.",23500,2183,RACHRIS LLC ,Office,29500,16.98,2,114.58,714.64,1916,20111109,24431.73492,22314.47127,24069.76267,23061.27533,23821.73651,22404.94235,23051.60398,23089.49809,21789.78588,21993.55829,20146.30115,19269.75446,527.516,627.484,558.75,408.614,314.636,164.5,112.259,114.605,121.223,127.789,376.458,598.715
108,SF3788002,3788/002,Office,1,640 Second Street,640 Second Street,24096,2239,640 SECOND STREET VENTURES ,Office,24096,11.78,3,127.68,704.52,1925,20120525,14452.89466,13376.44411,15757.97007,15471.11197,14643.39095,17199.49943,18763.88425,16895.2329,16045.26778,16299.47775,14256.91795,14058.86042,644.133,603.75,498,283.017,179.233,110.104,99.697,25.927,78.618,120.688,390.935,717.451
